,question,Summary,answer
200,Reference — What does this symbol mean in PHP?,"What is this? This is a collection of questions that come up every now and then about syntax in PHP. This is also a Community Wiki, so everyone is invited to participate in maintaining this list. Why ...","I know this isn't strictly PHP, but what about including a link to phpdoc.org for phpDocumentor comment syntax, which is commonly used and it's also impossible to search for /**?"
201,Deleting an element from an array in PHP,"Is there an easy way to delete an element from an array using PHP, such that foreach ($array) no longer includes that element? I thought that setting it to null would do it, but apparently it does ...","I would not that Konrad answer is the simplest one to the stated problem. With unset() the iterations over the array will not include the removed value anymore. OTOH, it is true that Stevan answer is ample and, actually, was the answer I was looking for - but not the OP :)"
202,How can I prevent SQL injection in PHP?,"If user input is inserted without modification into an SQL query, then the application becomes vulnerable to SQL injection, like in the following example: $unsafe_variable = $_POST['user_input']; ...","Also, the official documentation of mysql_query only allows to execute one query, so any other query besides ; is ignored. Even if this is already deprecated there are a lot of systems under PHP 5.5.0 and that may use this function. php.net/manual/en/function.mysql-query.php"
203,How do I get a YouTube video thumbnail from the YouTube API?,"If I have a YouTube video URL, is there any way to use PHP and cURL to get the associated thumbnail from the YouTube API?","Here are some PHP functions I created to get the best thumbnail available from the URL method w/o pinging the API, based off of the many good answers on this page: gist.github.com/squarecandy/30ec9f6779c0e8cdf12e337c665d96c5"
204,How do I check if a string contains a specific word?,"Consider: $a = 'How are you?'; if ($a contains 'are') echo 'true'; Suppose I have the code above, what is the correct way to write the statement if ($a contains 'are')?","@DTest - well yes of course it will return true because the string contains 'are'. If you are looking specifically for the word ARE then you would need to do more checks like, for example, check if there is a character or a space before the A and after the E."
205,Why shouldn't I use mysql_* functions in PHP?,"What are the technical reasons for why one shouldn't use mysql_* functions? (e.g. mysql_query(), mysql_connect() or mysql_real_escape_string())? Why should I use something else even if they work on ...",Error to be like: Fatal error: Uncaught Error: Call to undefined function mysql_connect() ...
206,How do you parse and process HTML/XML in PHP?,How can one parse HTML/XML and extract information from it?,"@Naveed that depends on your needs. I have no need for CSS Selector queries, which is why I use DOM with XPath exclusively. phpQuery aims to be a jQuery port. Zend_Dom is lightweight. You really have to check them out to see which one you like best."
207,How does PHP 'foreach' actually work?,"Let me prefix this by saying that I know what foreach is, does and how to use it. This question concerns how it works under the bonnet, and I don't want any answers along the lines of ""this is how you ...","@DaveRandom There's a php-internals tag this should probably go with, but I'll leave it to you to decide which if any of the other 5 tags to replace."
208,When should I use 'self' over '$this'?,"In PHP 5, what is the difference between using self and $this? When is each appropriate?",possible duplicate of New self vs. new static
209,How do I get PHP errors to display?,"I have checked my PHP ini file (php.ini) and display_errors is set and also error reporting is E_ALL. I have restarted my Apache webserver. I have even put these lines at the top of my script, and it ...","I've yet to nail down exactly why this works sometimes and not others, but for anyone wanting to quickly toggle errors in a php script (or enable them via a $_REQUEST parameter) these two lines will work most of the time."
210,How Can I add HTML And CSS Into PDF [closed],I have an HTML (not XHTML) document that renders fine in Firefox 3 and IE 7. It uses fairly basic CSS to style it and renders fine in HTML. I'm now after a way of converting it to PDF. I have tried:...,"Html2Pdf actually uses an embedded instance of IE to render the page, then converts that to PDF - probably through IE's print mechanism."
211,startsWith() and endsWith() functions in PHP,"How can I write two functions that would take a string and return if it starts with the specified character/string or ends with it? For example: $str = '|apples}'; echo startsWith($str, '|'); //...","See Laravel's Str class startsWith() and endsWith() for well-tested methods. Edge cases had been encountered, so the widespread use of this code is an advantage."
212,How do I make a redirect in PHP?,"Is it possible to redirect a user to a different page through the use of PHP? Say the user goes to www.example.com/page.php and I want to redirect them to www.example.com/index.php, how would I do so ...",You can update the header in PHP: header
213,"Difference between require, include, require_once and include_once?",In PHP: When should I use require vs. include? When should I use require_once vs. include_once?,"PHP CodeSniffer says, if file is being included conditionally, use include_once (instead of require_once)."
214,How to get the client IP address in PHP,How can I get the client IP address using PHP? I want to keep record of the user who logged into my website through his/her IP address.,"See RFC6302 on recommendations about what to log, and specifically nowadays remember to log the port and not only the address."
215,How to Sort a Multi-dimensional Array by Value,"How can I sort this array by the value of the ""order"" key? Even though the values are currently sequential, they will not always be. Array ( [0] => Array ( [...",Cross-Linked: Reference: all basic ways to sort arrays and data in PHP
216,"""Notice: Undefined variable"", ""Notice: Undefined index"", ""Warning: Undefined array key"", and ""Notice: Undefined offset"" using PHP",I'm running a PHP script and continue to receive errors like: Notice: Undefined variable: my_variable_name in C:\wamp\www\mypath\index.php on line 10 Notice: Undefined index: my_index C:\wamp\www\...,possible duplicate of Reference - What does this error mean in PHP?
217,How do you use bcrypt for hashing passwords in PHP?,"Every now and then I hear the advice ""Use bcrypt for storing passwords in PHP, bcrypt rules"". But what is bcrypt? PHP doesn't offer any such functions, Wikipedia babbles about a file-encryption ...","This question has been addressed previously, and their suggestion of using a standard library is excellent. Security is a complicated matter, and by using a package designed by someone who knows what the hell they're doing you're only helping yourself."
218,UTF-8 all the way through,I'm setting up a new server and want to support UTF-8 fully in my web application. I have tried this in the past on existing servers and always seem to end up having to fall back to ISO-8859-1. Where ...,"Here's an introduction to encodings in general and encodings in PHP in particular: What Every Programmer Absolutely, Positively Needs To Know About Encodings And Character Sets To Work With Text"
219,Enumerations on PHP,I know that PHP doesn't yet have native Enumerations. But I have become accustomed to them from the Java world. I would love to use enums as a way to give predefined values which IDEs' auto-completion ...,it.toolbox.com/blogs/macsploitation/…
220,Get the first element of an array,"I have an array: array( 4 => 'apple', 7 => 'orange', 13 => 'plum' ) I would like to get the first element of this array. Expected result: string apple One requirement: it cannot be ...","What do you mean, can't be done by reference?"
221,Secure hash and salt for PHP passwords,"It is currently said that MD5 is partially unsafe. Taking this into consideration, I'd like to know which mechanism to use for password protection. This question, Is “double hashing” a password less ...",openwall.com/phpass is also very good library
222,Reference - What does this error mean in PHP?,"What is this? This is a number of answers about warnings, errors, and notices you might encounter while programming PHP and have no clue how to fix them. This is also a Community Wiki, so everyone is ...","Also, to move discussion out of comments, please go to this meta question"
223,How can I sanitize user input with PHP?,"Is there a catchall function somewhere that works well for sanitizing user input for SQL injection and XSS attacks, while still allowing certain types of HTML tags?","Nowadays, to avoid sql injection, use PDO or MySQLi."
224,"What are Long-Polling, Websockets, Server-Sent Events (SSE) and Comet?","I have tried reading some articles, but I am not very clear on the concepts yet. Would someone like to take a shot at explaining to me what these technologies are: Long Polling Server-Sent Events ...","Realtime websocket or webrtc? There is a library for websocket in php, you do need to write extra code in order for it to work using ZMQ or just socket programming, nodeJs is built for this so its easily available. The reason websocket is not readily available in php is that you have to run an extra terminal and kept it running so that websocket server is readily available, you will have two servers bottom line. and the structure, php is not an event structure like javascript so there's that, websocket uses a event structure in order to catch and send messages."
225,How do I expire a PHP session after 30 minutes?,I need to keep a session alive for 30 minutes and then destroy it.,"Please note that at least two settings are crucial to setting the session time, and maybe three. The two certainly crucial ones are session.gc_maxlifetime and session.cookie_lifetime (where 0 is not the same as some long number). For complete, 100% certainty of allowing long times, it may also be necessary to set the session.save_path, due to varying OS-controled cleanup time on the /tmp directory where session files get stored by default."
226,What is stdClass in PHP?,Please define what stdClass is.,maybe he used mysql_fetch_object. that creates an instance of stdlcass if im not mistaken.
227,"What is the difference between public, private, and protected?","When and why should I use public, private, and protected functions and variables inside a class? What is the difference between them? Examples: // Public public $variable; public function ...","I think this question would also benefit from answers with practical examples of the use of each, instead of providing the literal definition of what each keyword does."
228,How do I use PHP to get the current year?,"I want to put a copyright notice in the footer of a web site, but I think it's incredibly tacky for the year to be outdated. How would I make the year update automatically with PHP 4 or PHP 5?","echo date(""Y"");"
229,PHP array delete by value (not key),"I have a PHP array as follows: $messages = [312, 401, 1599, 3, ...]; I want to delete the element containing the value $del_val (for example, $del_val=401), but I don't know its key. This might help:...","@Adam Strudwick But if you have many deletions on this array, would it be better to iterate it once and make its key same as value?"
230,Returning JSON from a PHP Script,I want to return JSON from a PHP script. Do I just echo the result? Do I have to set the Content-Type header?,"just in case: you should use header() commands only in addition with output buffering to avoid ""headers already sent"" warnings"
231,"Detecting request type in PHP (GET, POST, PUT or DELETE)","How can I detect which request type was used (GET, POST, PUT or DELETE) in PHP?","don't forget HEAD =) (also OPTIONS, TRACE and CONNECT, but I don't think PHP ever gets those)."
232,Where can I find php.ini?,A few years ago I installed Apache 2.2x and PHP 5.3.1 on a Linux server I maintain. I used .tar.gz's and built them as instructed (instead of rpms and what-have-you). And all was fine. Today I need ...,90% of the time it's /etc/php5/apache2/php.ini
233,How can I do 'insert if not exists' in MySQL?,I started by googling and found the article How to write INSERT if NOT EXISTS queries in standard SQL which talks about mutex tables. I have a table with ~14 million records. If I want to add more ...,dev.mysql.com/doc/refman/5.0/en/if.html
234,mysql_fetch_array()/mysql_fetch_assoc()/mysql_fetch_row()/mysql_num_rows etc... expects parameter 1 to be resource,"I am trying to select data from a MySQL table, but I get one of the following error messages: mysql_fetch_array() expects parameter 1 to be resource, boolean given This is my code: $username = $...",you can get more useful eroor msg using:: QUERY or die(mysql_error());
235,How do I get the current date and time in PHP?,Which PHP function can return the current date/time?,"TLDR; $date = date('m/d/Y h:i:s a', time());"
236,Get the full URL in PHP,"I use this code to get the full URL: $actual_link = 'http://'.$_SERVER['HTTP_HOST'].$_SERVER['PHP_SELF']; The problem is that I use some masks in my .htaccess, so what we see in the URL is not ...","@Brade URL bar is on the user browser, so why would PHP have any functionalities regarding that? PHP is server side."
237,PHP random string generator,"I'm trying to create a randomized string in PHP, and I get absolutely no output with this: <?php function RandomString() { $characters = '...","My one line solution for generate short string is substr(md5(rand()), 0, 7); good luck ..."
238,Remove empty array elements,Some elements in my array are empty strings based on what the user has submitted. I need to remove those elements. I have this: foreach($linksArray as $link) { if($link == '') { unset(...,"I thought it was worth mentioning that the code above does not work because unset(...) operates on the variable created by the foreach loop, not the original array that obviously stays as it was before the loop."
239,Convert a PHP object to an associative array,I'm integrating an API to my website which works with data stored in objects while my code is written using arrays. I'd like a quick-and-dirty function to convert an object to an array.,"Also consider the ArrayAccess interface, perhaps in combination with this solution. php.net/manual/en/class.arrayaccess.php"
240,What is thread safe or non-thread safe in PHP?,"I saw different binaries for PHP, like non-thread or thread safe? What does this mean? What is the difference between these packages?",You can read about Thread Safety on en.wikipedia.org/wiki/Thread_safety Regarding PHP: Is PHP thread-safe Don't Believe The Lies: PHP Isn't Thread-Safe Yet Difference between PHP thread safe and non thread safe binarie There are plenty of resources available. Search here at Stackoverflow or Google.
241,What is the difference between single-quoted and double-quoted strings in PHP?,"I'm a little confused why I see some code in PHP with string placed in single quotes and sometimes in double quotes. I just know in .NET, or the C language, if it is in a single quote, that means it ...","+1 for the curly brace trick. Wasn't aware of that. Too bad it doesn't follow the same conventions as shell scripts, i.e. ${variablename}."
242,How to check if PHP array is associative or sequential?,"PHP treats all arrays as associative, so there aren't any built in functions. Can anyone recommend a fairly efficient way to check if an array ""is a list"" (contains only numeric keys ...",There's a bug in your code: Tomato is a fruit.
243,How do I convert a string to a number in PHP?,"I want to convert these types of values, '3', '2.34', '0.234343', etc. to a number. In JavaScript we can use Number(), but is there any similar method available in PHP? Input Output '2' ...",Reader beware: there is no real answer to this question :(
244,"How to fix ""Headers already sent"" error in PHP","When running my script, I am getting several errors like this: Warning: Cannot modify header information - headers already sent by (output started at /some/file.php:12) in /some/file.php on line 23 ...",read: stackoverflow.com/questions/1912029/…
245,How to get a file's extension in PHP?,"This is a question you can read everywhere on the web with various answers: $ext = end(explode('.', $filename)); $ext = substr(strrchr($filename, '.'), 1); $ext = substr($filename, strrpos($filename, ...",Source of question and answer: cowburn.info/2008/01/13/get-file-extension-comparison
246,"How do I implement basic ""Long Polling""?","I can find lots of information on how Long Polling works (For example, this, and this), but no simple examples of how to implement this in code. All I can find is cometd, which relies on the Dojo JS ...","Couldn't some messages slip through using this idea? In that 1 second time out, say 1000 chat messages were sent, how would the server know to send the 1000 messsages specifically to that client?"
247,Get first key in a (possibly) associative array?,"What's the best way to determine the first key in a possibly associative array? My first thought it to just foreach the array and then immediately breaking it, like this: foreach ($an_array as $key =&...",Why is inefficient foreach?
248,Remove the last character from a string [duplicate],"What is fastest way to remove the last character from a string? I have a string like a,b,c,d,e, I would like to remove the last ',' and get the remaining string back: OUTPUT: a,b,c,d,e What is ...","if this string is concanating by a loop, you can use ""implode"" it will be concated without last comma"
249,What is the best collation to use for MySQL with PHP? [closed],"I'm wondering if there is a ""best"" choice for collation in MySQL for a general website where you aren't 100% sure of what will be entered? I understand that all the encodings should be the same, such ...","Side note: MySQL's ""utf8"" isn't proper UTF-8 (no support for 4+ byte Unicode characters like 𝌆), however ""utf8mb4"" is. With utf8, a field will be truncated on insert starting with the first unsupported Unicode character. mathiasbynens.be/notes/mysql-utf8mb4"
250,How to calculate the difference between two dates using PHP?,"I have two dates of the form: Start Date: 2007-03-24 End Date: 2009-06-26 Now I need to find the difference between these two in the following form: 2 years, 3 months and 2 days How can I do this ...","2 years 94 days. Calculating the months, taking into account leap years, would be problematic. How accurate does this need to be?"
251,How do I send a POST request with PHP?,"Actually I want to read the contents that come after the search query, when it is done. The problem is that the URL only accepts POST methods, and it does not take any action with GET method... I ...","It's worth noting that if you decide to use an array for the headers, do NOT end the keys or values with '\r\n'. stream_context_create() will only take the text up to the first '\r\n'"
252,How do I get the query builder to output its raw SQL query as a string?,"Given the following code: DB::table('users')->get(); I want to get the raw SQL query string that the database query builder above will generate. In this example, it would be SELECT * FROM users. ...","Laravel Eloquent ORM get raw query: echo User::where('status', 1)->toSql();"
253,How do I pass variables and data from PHP to JavaScript?,"I have a variable in PHP, and I need its value in my JavaScript code. How can I get my variable from PHP to JavaScript? I have code that looks like this: <?php $val = $myService->getValue(); // ...","Was the missing closing parenthesis in myPlugin.start(<?=$val?> intentional? Is it true that ""this works sometimes""?"
254,PHP parse/syntax errors; and how to solve them,"Everyone runs into syntax errors. Even experienced programmers make typos. For newcomers, it's just part of the learning process. However, it's often easy to interpret error messages such as: PHP ...","This isn't enough data to be an answer, but one could write a analyser with parsekit_compile_string, and put more friendly answers on it. If integrated into your IDE, this could be quite informative."
255,What are the differences in die() and exit() in PHP?,"What are the differences between die() and exit() functions in PHP? I think both have the same functionality, but I doubt there is something different in both... what is it?","exit() just bails off the program with a numeric exit status, while die() prints out the error message to stderr and exits with EXIT_FAILURE status. so exit() is exit and die() is also exit :)"
256,SQL injection that gets around mysql_real_escape_string(),Is there an SQL injection possibility even when using mysql_real_escape_string() function? Consider this sample situation. SQL is constructed in PHP like this: $login = mysql_real_escape_string(...,"@ThiefMaster - I prefer not to give verbose errors like invalid user / invalid password... it tells brute force merchants that they have a valid user ID, and it's just the password they need to guess"
257,PHP | define() vs. const,"In PHP, you can declare constants in two ways: With define keyword define('FOO', 1); Using const keyword const FOO = 1; What are the main differences between those two? When and why should you use ...","About performance (waste of time with micro-optimization as me), see this answer: const is two times faster than define. About page load time and memory usage: see this question and this article... See also something about opcode cache here."
258,Create a folder if it doesn't already exist,I've run into a few cases with WordPress installs with Bluehost where I've encountered errors with my WordPress theme because the uploads folder wp-content/uploads was not present. Apparently the ...,"if (!file_exists('path/to/directory')) { mkdir('path/to/directory', 0777, true); }"
259,Finding the number of days between two dates,How to find number of days between two dates using PHP?,The following SO questions might be of some help: - How to calculate the date difference between 2 dates using php - Dates difference with php - Calculate the difference between date/times in PHP - Date Difference in php? - [Getting the difference betwee
260,How do I strip all spaces out of a string in PHP? [duplicate],"How can I strip / remove all spaces of a string in PHP? I have a string like $string = ""this is my string""; The output should be ""thisismystring"" How can I do that?",See also: stackoverflow.com/questions/1279774/…
261,Pretty-Printing JSON with PHP,"I'm building a PHP script that feeds JSON data to another script. My script builds data into a large associative array, and then outputs the data using json_encode. Here is an example script: $data = ...","For PHP before 5.4, you can use the fallback in upgradephp as up_json_encode($data, JSON_PRETTY_PRINT);"
262,Fatal Error: Allowed Memory Size of 134217728 Bytes Exhausted (CodeIgniter + XML-RPC),"I have a bunch of client point of sale (POS) systems that periodically send new sales data to one centralized database, which stores the data into one big database for report generation. The client ...","I'm a bit confused... where does the error occur - in the client or server? And at which stage... client sending, server receiving, server processing, server sending, client receiving or client processing?"
263,Are PDO prepared statements sufficient to prevent SQL injection?,"Let's say I have code like this: $dbh = new PDO(""blahblah""); $stmt = $dbh->prepare('SELECT * FROM users where username = :username'); $stmt->execute( array(':username' => $_REQUEST['...",better approach 7th number answer stackoverflow.com/questions/134099/…
264,Formatting a number with leading zeros in PHP [duplicate],"I have a variable which contains the value 1234567. I would like it to contain exactly 8 digits, i.e. 01234567. Is there a PHP function for that?",Just wanted to add: str_pad is not an option with negative numbers
265,Show a number to two decimal places,"What's the correct way to round a PHP string to two decimal places? $number = ""520""; // It's a string from a database $formatted_number = round_to_2dp($number); echo $formatted_number; The output ...","This really isn't ""rounding"". Rounding reduces precision. It will not add decimal places to a number that doesn't have them. Based on many of the answers and comments, it seems like people are thinking that rounding is something it isn't. round is a math function, and this is just a formatting problem."
266,Cannot use object of type stdClass as array?,"I get a strange error using json_decode(). It decode correctly the data (I saw it using print_r), but when I try to access to info inside the array I get: Fatal error: Cannot use object of type ...","$result = json_decode('the string', true); Adding the true returns the result as an array and not an stdClass."
267,How to check if a string starts with a specified string? [duplicate],I'm trying to check if a string starts with http. How can I do this check? $string1 = 'google.com'; $string2 = 'http://www.google.com';,You might want to try this standalone library which can be used without any framework. It includes both startsWith and endsWith in case-sensitive and case-insensitive versions.
268,How can I capture the result of var_dump to a string?,"I'd like to capture the output of var_dump to a string. The PHP documentation says; As with anything that outputs its result directly to the browser, the output-control functions can be used to ...",This is definitely a better answer than the accepted one. I'm surprised it doesn't have more upvotes! Could you elaborate on why it might not give all the information he's looking for?
269,Preferred method to store PHP arrays (json_encode vs serialize),I need to store a multi-dimensional associative array of data in a flat file for caching purposes. I might occasionally come across the need to convert it to JSON for use in my web app but the vast ...,"Why not simply do something like: $array = array('foo' => 'bar'); file_put_contents('foo.php', ""<?php return "".var_export($array, true) . "";""); . and . $array = file_get_contents('foo.php'))); Of course, if this is for much larger data-volumes I'd probably go with.... CSV. So maybe not the sexiest - but it has been around longer than us both for a reason - and there's excellent support in PHP for partial or streamed access on really large datasets."
270,How can I get useful error messages in PHP?,"Quite often I will try and run a PHP script and just get a blank screen back. No error message; just an empty screen. The cause might have been a simple syntax error (wrong bracket, missing semicolon),...",coding.smashingmagazine.com/2011/11/30/…
271,What is the use of the @ symbol in PHP?,"I have seen uses of @ in front of certain functions, like the following: $fileHandle = @fopen($fileName, $writeAttributes); What is the use of this symbol?","Both RichieHindle and Aiden Bell gave the right answer but since I can only set one answer as accepted, I will choose the first one. Sorry Aiden"
272,PHP expects T_PAAMAYIM_NEKUDOTAYIM?,Does anyone have a T_PAAMAYIM_NEKUDOTAYIM?,"Sometimes this is PHP's way to tell you you are missing a $ sign... for example if you write _SESSION[""foo""] instead of $_SESSION[""foo""]"
273,Can I bind an array to an IN() condition in a PDO query?,I'm curious to know if it's possible to bind an array of values to a placeholder using PDO. The use case here is attempting to pass an array of values for use with an IN() condition. I'd like to ...,"A complete guide on binding an array to an IN() condition, including the case when you have other placeholders in the query"
274,Sort array of objects by object fields,"How can I sort this array of objects by one of its fields, like name or count ? Array ( [0] => stdClass Object ( [ID] => 1 [name] => Mary Jane ...","This is great, but if the sorting function is in the same class as the calling function, you should use: usort($your_data, array($this, ""cmp""));"
275,How to add elements to an empty array in PHP?,"If I define an array in PHP such as (I don't define its size): $cart = array(); Do I simply add elements to it using the following? $cart[] = 13; $cart[] = ""foo""; $cart[] = obj; Don't arrays in ...","As stated in the PHP documentation, if you're only pushing a single element every time (like in a loop) or a single element once, it's best to use the $cart[] = 13 method not only because it's less characters to do the same operation, but it also doesn't impose the performance overhead of a function call, which array_push() would. Edit: But, great answer. Effectively the same, and majority of uses won't even notice a performance difference, but helps to know those nuances."
276,Is there a function to make a copy of a PHP array to another?,Is there a function to make a copy of a PHP array to another? I have been burned a few times trying to copy PHP arrays. I want to copy an array defined inside an object to a global outside it.,"really late, but in my Environment I tested this (and it worked): function arrayCopy(array $a) { return $a; } $a1 = array(); for ($i=0; $i<3; $i++) { $a1[""key-$i""] = ""value #$i""; } $a1[""key-sub-array""] = array(1, 2, 3, 4); $a2 = $a1; $a3 = arrayCopy($a1); for ($i=0; $i<3; $i++) { if (!is_array($a2[""key-$i""])) { $a2[""key-$i""] = ""changed value #$i""; } } $a2[""key-sub-array""] = array(""changed sub-array 1"", ""changed sub-array 2""); var_dump($a1); var_dump($a2); var_dump($a3); The trick is, to do not pass the array as a reference into the function ;-)"
277,How to find the foreach index?,Is it possible to find the foreach index? in a for loop as follows: for ($i = 0; $i < 10; ++$i) { echo $i . ' '; } $i will give you the index. Do I have to use the for loop or is there some ...,"Depends on what the OP means by index: <? $a = array(3,5,'xx',4312,'sasas'); unset($a[3]); foreach ($a as $k=>$v) print ""\$k= $k and \$v = $v""; ?>"
278,phpmyadmin - count(): Parameter must be an array or an object that implements Countable,"I've uploaded the backup to a table, opening the table I see this: Warning in ./libraries/sql.lib.php#601 count(): Parameter must be an array or an object that implements Countable Backtrace ./...","Those who are facing problem as: if ( count($articles)){..} in CodeIgniter, they should use: if ( count((array)$articles)){..} as here"
279,"PHP, cURL, and HTTP POST example?","Can anyone show me how to do a PHP cURL with an HTTP POST? I want to send data like this: username=user1, password=passuser1, gender=1 To www.example.com I expect the cURL to return a response like ...",no need to use http_build_query() to handle parameters; just pass the array to CURLOPT_POSTFIELDS is enough.
280,htmlentities() vs. htmlspecialchars(),What are the differences between htmlspecialchars() and htmlentities(). When should I use one or the other?,"Thanks for the answer, but would you mind to elaborate on what you prefer htmlspecialchars() whenever possible, other than the obvious differences? What situations will using htmlentities() cause you problems whereas htmlspecialchars() will not?"
281,Insert new item in array on any position in PHP,"How can I insert a new item into an array on any position, for example in the middle of array?",Possible duplicate of How to insert element into arrays at specific position?
282,How do I catch a PHP fatal (`E_ERROR`) error?,"I can use set_error_handler() to catch most PHP errors, but it doesn't work for fatal (E_ERROR) errors, such as calling a function that doesn't exist. Is there another way to catch these errors? I am ...",I wrote up a wiki-style Q&A with a complete solution for catching All errors in PHP; which can be viewed/gleaned/stolen/critiqued here on Stack Overflow. The solution includes five methods that wrap all errors PHP can generate that will eventually pass said errors up to an 'ErrorHandler' typed object.
283,Converting an integer to a string in PHP,Is there a way to convert an integer to a string in PHP?,"PHP is loosely typed. What was an integer once, can be a string as well, e.g. when you echo it (used in so called string context)."
284,PHP How to determine the first and last iteration in a foreach loop?,"The question is simple. I have a foreach loop in my code: foreach($array as $element) { //code } In this loop, I want to react differently when we are in first or last iteration. How to do this?...",You should update the question with PHP. Javascript has forEach loop too. Viewers can get a misleading answer.
285,How to check whether an array is empty using PHP?,players will either be empty or a comma separated list (or a single value). What is the easiest way to check if it's empty? I'm assuming I can do so as soon as I fetch the $gameresult array into $...,Shouldn't you just use empty? count will take longer to perform for large arrays.
286,Change the maximum upload file size,"I have a website hosted on a PC I have no access to. I have an upload form allowing people to upload mp3 files up to 30MB big. My server side script is done in PHP. Every time I try and upload a file,...",do you perhaps know the default route that the php.ini file is stored?
287,How should a model be structured in MVC? [closed],I am just getting a grasp on the MVC framework and I often wonder how much code should go in the model. I tend to have a data access class that has methods like this: public function CheckUsername($...,phpro.org/tutorials/Model-View-Controller-MVC.html
288,How to create custom helper functions in Laravel,I would like to create helper functions to avoid repeating code between views in Laravel. For example: view.blade.php <p>Foo Formated text: {{ fooFormatText($text) }}</p> They're ...,Tip for noobs: use this command after changing composer.json. composer dump-autoload
289,PHP equivalent of .NET/Java's toString(),How do I convert the value of a PHP variable to string? I was looking for something better than concatenating with an empty string: $myText = $myVar . ''; Like the ToString() method in Java or .NET....,"This seems to be the correct answer: stackoverflow.com/a/3559247/11236 (print_r(foo, true))!"
290,New self vs. new static,"I am converting a PHP 5.3 library to work on PHP 5.2. The main thing standing in my way is the use of late static binding like return new static($options); , if I convert this to return new self($...",makes sense. I think the best bet is to pass the class name to the function that is using late static binding and then do return new $className($options);
291,What is the difference between HTTP_HOST and SERVER_NAME in PHP?,What is the difference between $_SERVER['HTTP_HOST'] and $_SERVER['SERVER_NAME'] in PHP? When would you consider using one over the other and why?,"""I normally go for HTTP_HOST, so that the user stays on the exact host name they started on. For example if I have the same site on a .com and .org domain, I don't want to send someone from .org to .com, particularly if they might have login tokens on .org that they'd lose if sent to the other domain."" - This and some other interesting points from stackoverflow.com/questions/1459739/…"
292,How do the PHP equality (== double equals) and identity (=== triple equals) comparison operators differ?,What is the difference between == and ===? How exactly does the loosely == comparison work? How exactly does the strict === comparison work? What would be some useful examples?,"@BenAubin Seriously, the edits you made did not improve anything at all."
293,How to sort an array of associative arrays by value of a given key in PHP?,"Given this array: $inventory = array( array(""type""=>""fruit"", ""price""=>3.50), array(""type""=>""milk"", ""price""=>2.90), array(""type""=>""pork"", ""price""=>5.43), ); I would like ...",possible duplicate of How do I sort a multidimensional array in php
294,How to install a specific version of package using Composer?,I am trying to install a specific version of a package using Composer. I tried composer install and composer require but they are installing the latest version of the package. What if I want an older ...,have a read on this answer stackoverflow.com/questions/15212381/…
295,What is the difference between client-side and server-side programming?,"I have this code: <script type=""text/javascript""> var foo = 'bar'; <?php file_put_contents('foo.txt', ' + foo + '); ?> var baz = <?php echo 42; ?>; ...",You can also open second page using window.open or load a page using an iframe.
296,How to Create Multiple Where Clause Query Using Laravel Eloquent?,"I'm using the Laravel Eloquent query builder and I have a query where I want a WHERE clause on multiple conditions. It works, but it's not elegant. Example: $results = User::where('this', '=', 1) ...","There are many possibilities in terms of how this could be simplified, but that would require some more realistic code. Can you update the code to be a little more realistic? For example, there are times when multiple ->where(...) calls can be replaced by a ->whereIn(...) call, et cetera."
297,How to read a large file line by line?,"I want to read a file line by line, but without completely loading it in memory. My file is too large to open in memory, and if try to do so I always get out of memory errors. The file size is 1 GB.",see my answer at this link
298,How to get the last char of a string in PHP?,"I need to get the last character of a string. Say I have ""testers"" as input string and I want the result to be ""s"". how can I do that in PHP?","You might find s($str)->end() helpful, as found in this standalone library."
299,NOW() function in PHP,"Is there a PHP function that returns the date and time in the same format as the MySQL function NOW()? I know how to do it using date(), but I am asking if there is a function only for this. For ...",Note that you may need to use the date_default_timezone_set function
300,Why does HTML think “chucknorris” is a color?,"Why do certain random strings produce colors when entered as background colors in HTML? For example, the following code produces a page with a red background across all browsers and platforms: <...","I had to (because how could I not) so I ran an entire dictionary through a script and rendered it out as a table - and yes, whippersnappers is absolutely a valid color code."
301,How do I check whether a checkbox is checked in jQuery?,"I need to check the checked property of a checkbox and perform an action based on the checked property using jQuery. For example, if the age checkbox is checked, then I need to show a textbox to enter ...","It's important to note everyone, that there is a colon between the opening single quote and the word ""checked."" It represents a pseudoclass selector of the checkbox. I just made the mistake of not copying and pasting the code and missed the colon. Frustrating."
302,How to horizontally center an element,"How can I horizontally center a <div> within another <div> using CSS? <div id=""outer""> <div id=""inner"">Foo foo</div> </div>","Of those great answers, I just want to highlight that you must give ""#inner"" a ""width"", or it will be ""100%"", and you can't tell if it's already centered."
303,"Which ""href"" value should I use for JavaScript links, ""#"" or ""javascript:void(0)""?","The following are two methods of building a link that has the sole purpose of running JavaScript code. Which is better, in terms of functionality, page load speed, validation purposes, etc.? ...","Fast-forward to 2013: javascript:void(0) violates Content Security Policy on CSP-enabled HTTPS pages. One option would be then to use href='#' and event.preventDefault() in the handler, but I don't like this much. Perhaps you can establish a convention to use href='#void' and make sure no element on the page has id=""void"". That way, clicking a link to non-existing anchor will not scroll the page."
304,Change a HTML5 input's placeholder color with CSS,"Chrome supports the placeholder attribute on input[type=text] elements (others probably do too). But the following CSS doesn't do anything to the placeholder's value: input[placeholder], [...","Quick heads-up (not a solution, just a FYI): if I recall correctly, input[placeholder] just matches <input> tags that have a placeholder attribute, it doesn't match the placeholder attribute itself."
